Area,Average_Elevation,Average_Temperature,Boron,Clay,Land class,Mean_Precipitation,Nitrogen,Phosphorus,Potassium,SOC,Sand,Silt,Soil group,Soil type,Sulfur,Zinc,latitude,longitude,pH
Adamawa,436,29.87453613,0.0604932,19,isda,7.909778506,0.0485999,12.9047,0.321371795,0.807512,62,18,isda,isda,8.66247,1.72509,9.08814,11.7104,6.10277
Adamawa,439,29.87453613,0.0847158,21,isda,7.909778506,0.0813946,16.2778,0.449448718,1.22608,60,18,isda,isda,8.20523,1.63759,9.08964,11.71304,6.83372
Adamawa,461,29.87453613,0.0501108,20,isda,7.909778506,0.127895,28.5016,0.442879487,1.54978,58,19,isda,isda,13.1575,1.84599,9.09039,11.71085,6.13151
Adamawa,467,29.87453613,0.143164,20,isda,7.909778506,0.147309,12.1516,0.442879487,1.56882,59,20,isda,isda,14.4722,2.34877,9.09397,11.71565,5.95884
Adamawa,444,29.87453613,0.0858178,21,isda,7.909778506,0.145154,10.5672,0.449448718,1.82888,61,20,isda,isda,14.5774,1.87229,9.09202,11.71468,6.143
Bauchi,364,27.86037598,0.00436926,18,isda,11.32951677,0.0227676,3.7181,0.080036923,0.402954,72,14,isda,isda,3.84253,1.04508,10.63733,10.43792,6.68647
Bauchi,387,27.86037598,0.0125637,19,isda,11.32951677,0.0259988,2.69745,0.077990256,0.388462,69,14,isda,isda,4.81548,1.00679,10.67828,10.43785,5.86594
Bauchi,573,26.79213867,0.20198,17,isda,20.10066994,0.0704742,4.47205,0.383276923,0.592794,69,15,isda,isda,7.58833,1.11143,9.92179,10.02592,6.33662
Bauchi,578,26.79213867,0.314456,17,isda,20.10066994,0.0816983,4.56269,0.449448718,0.760044,70,15,isda,isda,10.4374,1.55279,9.9098,10.03025,6.52277
Bauchi,382,27.86037598,0.00412876,17,isda,11.32951677,0.0154891,4.54761,0.085385897,0.284555,70,15,isda,isda,4.5964,0.987997,10.67262,10.43253,6.50389
Bauchi,385,27.86037598,0.00669469,17,isda,11.32951677,0.0140117,3.37375,0.058898974,0.169183,70,15,isda,isda,3.23944,0.810944,10.67652,10.43709,5.7884
Bauchi,587,26.79213867,0.0504478,18,isda,20.10066994,0.0488405,8.05981,0.158748974,0.595192,63,15,isda,isda,4.34584,1.41035,9.92681,10.03907,6.03463
Bauchi,549,26.79213867,0.0918526,18,isda,20.10066994,0.0570348,4.68425,0.28195641,0.688039,69,15,isda,isda,5.48984,1.37556,9.96252,10.02913,6.18727
Bauchi,388,27.86037598,0.00288517,18,isda,11.32951677,0.0259418,3.62053,0.094663077,0.385226,67,15,isda,isda,4.27392,1.14512,10.67715,10.43246,5.41307
Bauchi,384,27.86037598,0.00477059,18,isda,11.32951677,0.0180943,6.2868,0.078961795,0.241736,69,15,isda,isda,3.29205,0.753865,10.67479,10.43382,6.35866
Bauchi,369,27.86037598,0.00515502,18,isda,11.32951677,0.0177152,3.91058,0.093279487,0.360566,69,15,isda,isda,5.01344,0.889589,10.64167,10.43318,6.03445
Bauchi,371,27.86037598,0.00581794,18,isda,11.32951677,0.0168221,5.18083,0.052331538,0.244096,68,15,isda,isda,3.58206,0.862664,10.63887,10.43497,5.76804
Bauchi,358,27.86037598,0.00705455,19,isda,11.32951677,0.0205213,4.77142,0.051605385,0.383496,68,15,isda,isda,3.71812,1.0631,10.64487,10.4359,6.14343
Bauchi,567,25.99489746,0.113236,20,isda,23.19471352,0.0892295,13.204,0.414348718,1.27293,62,15,isda,isda,8.70486,1.75355,9.89228,9.99578,6.06318
Bauchi,585,26.79213867,0.0450079,17,isda,20.10066994,0.0899352,7.11841,0.341251282,1.00141,68,16,isda,isda,6.82745,1.21543,9.91258,10.03479,6.11831
Bauchi,617,25.21032104,0.052727,18,isda,28.24034356,0.0395882,8.54059,0.298202564,0.414436,61,16,isda,isda,4.12444,1.20613,10.20401,9.69645,5.69681
Bauchi,579,26.79213867,0.0272917,18,isda,20.10066994,0.0362275,6.70626,0.157899487,0.46497,67,16,isda,isda,4.55149,1.18896,9.9314,10.0396,5.79184
Bauchi,376,27.86037598,0.00335797,18,isda,11.32951677,0.0203273,5.31363,0.058923077,0.276722,69,16,isda,isda,3.5301,0.956328,10.64245,10.42972,6.16203
Bauchi,587,25.21032104,0.0224133,19,isda,28.24034356,0.0379819,6.51951,0.289687179,0.365072,65,16,isda,isda,6.93615,1.01336,10.16829,9.69462,6.10838
Bauchi,549,26.79213867,0.0375222,19,isda,20.10066994,0.0355042,6.0723,0.252475641,0.66273,66,16,isda,isda,4.99646,0.99268,9.96377,10.03302,6.54058
Bauchi,543,25.99489746,0.065457,20,isda,23.19471352,0.0620858,15.7292,0.406384615,0.810094,58,16,isda,isda,7.33407,1.82074,9.96902,9.99535,6.05806
Bauchi,545,25.99489746,0.203197,20,isda,23.19471352,0.0858487,11.5183,0.445761538,1.0214,62,16,isda,isda,5.68056,1.43368,9.96686,9.99469,5.96771
Bauchi,547,25.99489746,0.216807,20,isda,23.19471352,0.143466,22.8376,0.52695641,1.35062,60,16,isda,isda,11.0795,1.39279,9.96501,9.99623,6.43032
Bauchi,551,26.79213867,0.0431151,21,isda,20.10066994,0.0471189,11.1918,0.193721795,0.773556,66,16,isda,isda,5.00529,1.20213,9.96048,10.03406,6.38019
Bauchi,508,27.07485352,0.0402003,16,isda,12.77913339,0.0401543,7.51869,0.087917949,0.239455,63,17,isda,isda,5.33982,1.14491,11.28227,9.13519,5.90837
Bauchi,418,27.86037598,0.241865,17,isda,11.32951677,0.122994,11.8939,0.336605128,0.623034,69,17,isda,isda,9.31763,1.70748,10.68815,10.41141,6.45449
Bauchi,524,26.23922119,0.0799641,17,isda,16.78643748,0.0482458,5.85737,0.104072308,0.498586,67,17,isda,isda,6.54928,1.29102,11.23853,9.11432,5.77891
Bauchi,588,26.79213867,0.076917,18,isda,20.10066994,0.0792393,11.3729,0.342097436,0.945271,65,17,isda,isda,8.91184,1.51889,9.91293,10.03705,6.507
Bauchi,574,26.79213867,0.166767,18,isda,20.10066994,0.114488,8.01859,0.500884615,1.36201,69,17,isda,isda,5.66098,1.61901,9.93216,10.04472,7.06793
Bauchi,412,27.86037598,0.0040988,18,isda,11.32951677,0.0229583,3.81314,0.051763846,0.387773,67,17,isda,isda,5.28868,0.884179,10.69114,10.4381,5.98418
Bauchi,400,27.86037598,0.0103925,18,isda,11.32951677,0.0388885,4.61252,0.124214103,0.988014,68,17,isda,isda,5.81611,1.37591,10.67917,10.41743,5.98515
Bauchi,615,25.21032104,0.0830275,18,isda,28.24034356,0.0298238,10.5075,0.226644359,0.418427,64,17,isda,isda,6.78116,1.12657,10.20585,9.69745,5.4772
Bauchi,565,26.79213867,0.0906442,18,isda,20.10066994,0.106845,10.7446,0.443935897,0.815166,69,17,isda,isda,5.28065,1.34144,9.93026,10.01399,6.62401
