longitude,latitude,start_date,end_date,source,horizon_lower,horizon_upper,aluminium_extractable,boron_extractable,calcium_extractable,carbon_organic,carbon_total,copper_extractable,electrical_conductivity,iron_extractable,magnesium_extractable,manganese_extractable,nitrogen_total,ph,phosphorus_extractable,potassium_extractable,sodium_extractable,sulphur_extractable,zinc_extractable,sand,silt,clay
9.70933,10.16906,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,639.446,0.159,950.526,7.6977,,1.01696,0.771156,151.364,363.411,87.052,0.7054,6.31211,14.1132,119.188,34.5293,8.05925,1.49692,51.0,21.0,22.0
11.69308,9.08007,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,768.223,0.1016,834.099,13.1397,,0.940535,0.918163,153.765,206.792,39.2549,1.08761,5.36189,12.6794,174.787,34.6533,16.3186,1.90178,59.0,19.0,20.0
9.04743,9.66625,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,655.645,0.1165,809.186,12.4706,,0.903166,0.775642,183.493,184.827,90.2997,0.716328,6.32176,4.97233,201.41,33.4386,10.0552,1.86241,56.0,18.0,22.0
8.86292,9.25251,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,1401.26,0.1215,661.337,14.5912,,2.05696,0.522311,105.877,342.014,48.9152,1.52534,5.5687,3.45258,151.807,42.6569,12.8003,0.656912,50.0,19.0,29.0
7.73493,9.52822,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,784.419,0.1676,886.706,10.0637,,1.72761,0.621209,142.068,156.892,71.1233,0.801812,5.60867,5.89749,80.056,26.8394,5.21915,0.998162,57.0,19.0,21.0
8.43053,9.0031,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,310.688,0.01429,935.812,2.83923,,0.163104,0.721734,72.1382,134.468,48.1172,0.210533,6.27555,3.84416,88.3761,47.3801,3.31327,0.897132,55.0,18.0,25.0
9.95375,8.57491,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,433.998,0.01532,604.584,8.21196,,1.00371,0.474388,173.113,97.9689,20.1691,0.631203,5.91579,4.08069,91.471,27.2476,6.69788,1.1347,56.0,22.0,18.0
8.16486,8.08119,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,560.646,0.01665,597.055,5.12124,,0.666664,0.429274,128.446,89.8201,26.0376,0.347311,5.90562,3.49822,54.0659,38.3741,6.23584,0.571705,64.0,16.0,13.0
6.36402,9.70561,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,462.615,0.01739,737.416,5.63802,,0.887356,0.638252,193.305,99.9433,48.4203,0.328883,6.21006,3.58331,58.0133,45.6374,5.66389,1.22606,69.0,15.0,15.0
5.39554,10.62202,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,767.317,0.01912,911.214,7.49637,,1.13919,0.862165,113.942,120.482,28.5819,0.488478,5.55997,6.84287,73.2357,22.2212,12.3435,0.659331,70.0,16.0,15.0
