longitude,latitude,Boron,SOC,Nitrogen,pH,Phosphorus,Potassium,Sulfur,Zinc,Sand,Silt,Clay,Area,Soil group,Land class,Soil type
9.70933,10.16906,0.159,0.7697700000000001,0.07054,6.31211,14.1132,0.3056102564102564,8.05925,1.49692,51.0,21.0,22.0,isda,isda,isda,isda
11.69308,9.08007,0.1016,1.3139699999999999,0.108761,5.36189,12.6794,0.44817179487179487,16.3186,1.90178,59.0,19.0,20.0,isda,isda,isda,isda
9.04743,9.66625,0.1165,1.2470599999999998,0.0716328,6.32176,4.97233,0.5164358974358975,10.0552,1.86241,56.0,18.0,22.0,isda,isda,isda,isda
8.86292,9.25251,0.1215,1.45912,0.152534,5.5687,3.45258,0.3892487179487179,12.8003,0.656912,50.0,19.0,29.0,isda,isda,isda,isda
7.73493,9.52822,0.1676,1.00637,0.0801812,5.60867,5.89749,0.20527179487179487,5.21915,0.998162,57.0,19.0,21.0,isda,isda,isda,isda
8.43053,9.0031,0.01429,0.28392300000000004,0.0210533,6.27555,3.84416,0.2266053846153846,3.31327,0.897132,55.0,18.0,25.0,isda,isda,isda,isda
9.95375,8.57491,0.01532,0.8211959999999999,0.06312029999999999,5.91579,4.08069,0.23454102564102566,6.69788,1.1347,56.0,22.0,18.0,isda,isda,isda,isda
8.16486,8.08119,0.01665,0.512124,0.0347311,5.90562,3.49822,0.1386305128205128,6.23584,0.571705,64.0,16.0,13.0,isda,isda,isda,isda
6.36402,9.70561,0.01739,0.563802,0.032888299999999995,6.21006,3.58331,0.1487520512820513,5.66389,1.22606,69.0,15.0,15.0,isda,isda,isda,isda
5.39554,10.62202,0.01912,0.749637,0.048847800000000004,5.55997,6.84287,0.18778384615384613,12.3435,0.659331,70.0,16.0,15.0,isda,isda,isda,isda
8.39838,10.0664,0.02129,0.9575670000000001,0.057774400000000004,5.85678,3.64538,0.15864820512820513,7.9742,1.54871,58.0,19.0,24.0,isda,isda,isda,isda
5.41005,10.66889,0.02273,1.25838,0.0982054,5.79361,6.58336,0.26093589743589746,6.98967,1.48794,72.0,17.0,16.0,isda,isda,isda,isda
