longitude,latitude,Boron,SOC,Nitrogen,pH,Phosphorus,Potassium,Sulfur,Zinc,Sand,Silt,Clay,Area,Soil group,Land class,Soil type
9.70933,10.16906,0.159,7.6977,0.7054,6.31211,14.1132,119.188,8.05925,1.49692,51.0,21.0,22.0,isda,isda,isda,isda
11.69308,9.08007,0.1016,13.1397,1.08761,5.36189,12.6794,174.787,16.3186,1.90178,59.0,19.0,20.0,isda,isda,isda,isda
9.04743,9.66625,0.1165,12.4706,0.716328,6.32176,4.97233,201.41,10.0552,1.86241,56.0,18.0,22.0,isda,isda,isda,isda
8.86292,9.25251,0.1215,14.5912,1.52534,5.5687,3.45258,151.807,12.8003,0.656912,50.0,19.0,29.0,isda,isda,isda,isda
7.73493,9.52822,0.1676,10.0637,0.801812,5.60867,5.89749,80.056,5.21915,0.998162,57.0,19.0,21.0,isda,isda,isda,isda
8.43053,9.0031,0.01429,2.83923,0.210533,6.27555,3.84416,88.3761,3.31327,0.897132,55.0,18.0,25.0,isda,isda,isda,isda
9.95375,8.57491,0.01532,8.21196,0.631203,5.91579,4.08069,91.471,6.69788,1.1347,56.0,22.0,18.0,isda,isda,isda,isda
8.16486,8.08119,0.01665,5.12124,0.347311,5.90562,3.49822,54.0659,6.23584,0.571705,64.0,16.0,13.0,isda,isda,isda,isda
6.36402,9.70561,0.01739,5.63802,0.328883,6.21006,3.58331,58.0133,5.66389,1.22606,69.0,15.0,15.0,isda,isda,isda,isda
5.39554,10.62202,0.01912,7.49637,0.488478,5.55997,6.84287,73.2357,12.3435,0.659331,70.0,16.0,15.0,isda,isda,isda,isda
8.39838,10.0664,0.02129,9.57567,0.577744,5.85678,3.64538,61.8728,7.9742,1.54871,58.0,19.0,24.0,isda,isda,isda,isda
5.41005,10.66889,0.02273,12.5838,0.982054,5.79361,6.58336,101.765,6.98967,1.48794,72.0,17.0,16.0,isda,isda,isda,isda
