Area,Soil group,Land class,Soil type,pH,SOC,Nitrogen,Potassium,Phosphorus,Sulfur,Boron,Zinc,Sand,Silt,Clay,SOC mean by Soil group,Boron mean by Soil group,Zinc mean by Soil group,Area_Kaunia upazila,Area_Mithpukur,Area_Pirgacha ,Land class_Medium high land,Land class_Medium low land,Land class_high ground,Soil type_Clay loam ,Soil type_brick,Soil type_in the sand,Soil type_loam,Soil type_loam clay,Clay * pH,Clay * Nitrogen,Phosphorus * Nitrogen,Cluster
Mithpukur,Sahapur,Medium high land,loam,0.07802859286692948,-0.5151403872986604,-0.08366075264892725,-0.09240851895036448,-0.6226725423917668,-1.1684030458104084,-0.10058438086527001,-0.3490004006834356,0.2797337333771619,0.4544154364442595,-0.45417432011175685,1.9066666666666665,0.3466666666666667,0.7025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.01771929155730739,0.018998282727182198,0.026046626775158135,0
Mithpukur,Noadda,high ground,Clay loam ,-0.42462232480291173,0.17904673020122322,-0.022837894224011158,-0.0786314972734373,0.296365366910739,-0.8697909757545046,-0.07810500253429078,0.33768130114109934,-1.0244927189372732,-1.0749483039595311,1.29541638732284,1.7244545454545455,0.34,1.032727272727273,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.27503135898640674,-0.014792291214864844,-0.0033841804505838568,1
Mithpukur,the moon,Medium high land,Clay loam ,0.07802859286692948,-0.5984428413986466,-0.08366075264892725,-0.09791932762113535,-0.4722845208695386,-0.5349835032675819,-0.0331462458723323,-0.6304273276607041,-1.0244927189372732,-1.0749483039595311,1.29541638732284,1.7853333333333334,0.3346666666666666,0.6746666666666666,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05053975893978125,-0.054187754978591525,0.019755839240191794,1
Mithpukur,Gangachara,high ground,loam,-0.42462232480291173,0.456721577201177,-0.007632179617782122,-0.08965311461497905,0.5497970328093088,2.12537857541229,0.011812510789626147,0.2701388386665549,0.2797337333771619,0.4544154364442595,-0.45417432011175685,1.9534344827586205,0.3117241379310345,0.8877931034482758,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09642627783581802,0.0017331699944385017,-0.0020980748538621473,0
Mithpukur,Gangachara,Medium high land,loam,0.07802859286692948,-0.26523302499870227,-0.05324932343646919,-0.0565882625903538,-0.23277767177858258,0.18892454535279127,0.02867204453786059,-1.0019108712706983,0.2797337333771619,0.4544154364442595,-0.45417432011175685,1.9534344827586205,0.3117241379310345,0.8877931034482758,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.01771929155730739,0.012092237634084717,0.006197626766663005,0
Mithpukur,belab,high ground,Clay loam ,0.329354051701849,-1.1121413083485605,-0.038043608830240175,-0.06760987993189554,-0.1910032213557414,1.1842981122058045,-0.08934469169978042,0.056254374163830945,-1.0244927189372732,-1.0749483039595311,1.29541638732284,1.3828571428571428,0.2835714285714286,1.0771428571428572,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21332531790287454,-0.024641157155796508,0.003633225919286801,1
Kaunia upazila,Alluvial soil of Teesta,Medium high land,loam,1.3346558870415315,-1.181560020098549,-0.1292778964676143,-0.03730043224265573,-0.4667145941464932,-0.33138436459310194,-0.1624026712754629,-0.5516277881070689,0.2797337333771619,0.4544154364442595,-0.45417432011175685,1.0756521739130436,0.5221739130434783,0.7578260869565218,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.30308321504012065,0.029357350366828412,0.03016794049099749,0
Pirgacha ,Gangachara,high ground,loam,-1.1785987013076724,-0.04309314739873921,-0.06845503804269823,-0.06209907126112467,-0.4500048139773567,-0.480690399621054,-0.08934469169978042,-0.05631639662707652,0.2797337333771619,0.4544154364442595,-0.45417432011175685,1.9534344827586205,0.3117241379310345,0.8877931034482758,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.26764463192550586,0.01554526018063346,0.015402548330108647,0
Kaunia upazila,Gangachara,Medium high land,loam,-1.1785987013076724,-0.5151403872986604,-0.08366075264892725,-0.06760987993189554,-0.5895314783896461,-0.8435493089920161,-0.11744391461350445,-0.37151455484161705,0.2797337333771619,0.4544154364442595,-0.45417432011175685,1.9534344827586205,0.3117241379310345,0.8877931034482758,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.26764463192550586,0.018998282727182198,0.024660323596156292,0
Pirgacha ,Gangachara,high ground,loam,-0.927273242472753,-1.1954437624485466,-0.09886646725515626,-0.08138690160882273,-0.25227241530924177,-1.0688656891251072,-0.1455431375272285,-0.5403707110279782,0.2797337333771619,0.4544154364442595,-0.45417432011175685,1.9534344827586205,0.3117241379310345,0.8877931034482758,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.21057184722894343,0.02245130527373093,0.012470641243775166,0
Mithpukur,Noadda,high ground,Clay loam ,0.329354051701849,-0.40407044849867885,-0.08366075264892725,-0.06760987993189554,-0.42772510708517475,1.057614203697239,-0.12306375919624928,-0.2814579382088912,-1.0244927189372732,-1.0749483039595311,1.29541638732284,1.7244545454545455,0.34,1.032727272727273,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21332531790287454,-0.054187754978591525,0.01789190219279436,1
Pirgacha ,Gangachara,high ground,loam,-0.42462232480291173,0.24846544195121198,-0.05324932343646919,-0.08138690160882273,-0.5808980919689257,0.26131535021482866,-0.08372484711703561,0.5853369968810955,0.2797337333771619,0.4544154364442595,-0.45417432011175685,1.9534344827586205,0.3117241379310345,0.8877931034482758,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09642627783581802,0.012092237634084717,0.015466215191440575,0
