Clay,Nitrogen,SOC,Sand,Silt,SOC%,Nitrogen%
351,1588,165,313,335,2.38,0.15
314,1602,180,292,394,1.48,0.08
348,1747,190,288,364,1.69,0.1
297,1744,184,328,375,3.75,0.18
350,1467,187,242,408,2.98,0.16
309,1898,194,240,451,3.85,0.25
296,1820,181,319,385,5.25,0.18
343,1851,188,285,372,5.06,0.2
339,1746,175,266,395,2.87,0.14
311,1670,171,292,397,1.27,0.08
315,1570,186,300,385,1.47,0.09
313,1819,168,316,370,1.07,0.05
357,1547,193,244,400,1.51,0.06
317,1825,179,326,357,1.08,0.11
298,1856,172,293,409,1.87,0.08
319,1579,176,285,396,1.11,0.06
304,2032,183,313,383,1.51,0.08
342,1689,172,262,395,1.59,0.08
288,1903,200,318,394,1.121,0.06
329,1812,191,269,402,1.68,0.09
336,1476,188,275,389,1.68,0.08
296,1517,187,347,356,1.66,0.12
342,1566,158,298,360,1.22,0.06
316,1538,167,260,424,1.51,0.08
331,1423,204,293,376,1.38,0.07
318,1615,169,288,394,1.57,0.08
287,1615,390,340,373,1.59,0.08
351,1757,171,287,362,1.44,0.05
306,1662,166,270,424,1.49,0.09
313,1895,167,333,353,1.3,0.07
299,1417,192,279,422,1.3,0.07
340,1738,180,287,373,1.848,0.09
303,1700,165,267,429,1.68,0.1
318,1646,170,285,397,1.94,0.08
299,1942,213,325,377,2.01,0.12
310,1817,163,347,343,1.85,0.11
298,1603,165,263,439,1.4,0.06
341,1470,161,286,372,1.35,0.07
310,1589,169,319,372,2.5,0.13
338,1599,174,296,365,1.81,0.09
348,1573,174,246,406,1.73,0.12
282,1923,192,323,395,1.66,0.09
318,2091,192,292,390,1.93,0.11
317,1530,177,261,422,1.95,0.11
348,1678,195,235,417,1.61,0.09
320,1523,172,294,386,1.37,0.08
301,1608,156,298,400,1.79,0.11
295,2152,186,304,401,1.72,0.09
291,1523,179,269,439,2.15,0.12
312,1805,173,286,402,2.55,0.14
316,1792,181,290,393,1.91,0.11
314,1704,181,246,440,1.45,0.08
303,1505,176,248,449,1.55,0.09
322,1865,187,308,371,1.82,0.11
335,1462,194,267,398,1.73,0.11
316,1781,198,323,361,2.07,0.12
349,1958,218,263,389,2.38,0.15
331,1656,175,304,365,2.37,0.14
332,1601,189,284,384,3.66,0.21
326,1664,172,267,407,2.34,0.14
289,1681,177,310,402,2.75,0.07
330,1645,171,262,408,2.59,0.06
334,1785,166,280,386,3.19,0.07
301,1718,168,313,386,2.56,0.07
318,2061,216,318,364,1.84,0.08
333,1766,177,296,371,2.81,0.07
305,1547,203,345,350,2.82,0.06
353,1794,204,219,428,4.48,0.1
335,1552,182,269,396,2.16,0.06
317,1804,190,284,399,3.3,0.08
317,1682,199,274,409,3.01,0.08
327,1450,173,262,411,2.99,0.08
307,1607,176,355,339,2.89,0.06
350,1774,182,290,360,2.84,0.07
338,1732,177,286,376,2.19,0.07
334,1677,193,289,377,2.45,0.06
335,1529,179,239,426,3.58,0.08
304,1775,173,271,426,1.89,0.12
313,2026,189,304,383,2.75,0.25
358,1652,212,232,410,3.42,0.21
306,1604,210,322,373,2.34,0.22
305,1763,175,356,338,3.49,0.2
314,1784,176,314,372,3.47,0.17
312,1700,196,311,377,1.98,0.22
299,1854,178,317,384,3.15,0.25
332,1592,172,229,439,0.96,0.07
349,1670,187,216,436,0.59,0.04
351,1630,192,220,429,1.24,0.06
310,2259,227,324,366,1.06,0.06
317,1519,196,252,432,1.51,0.09
332,1545,214,238,430,2.33,0.14
313,1632,206,295,392,2.29,0.11
334,1795,185,265,401,1.91,0.13
295,1477,193,351,355,1.51,0.08
326,1643,161,244,430,2.09,0.12
329,1600,181,264,406,1.99,0.1
349,1693,204,238,412,1.71,0.1
302,1628,167,354,344,2.09,0.12
305,1428,187,288,407,1.7,0.09
320,1726,172,276,404,1.87,0.11
325,1677,163,243,432,2.14,0.13
325,1520,166,290,385,1.88,0.11
294,1785,179,327,379,1.87,0.12
301,1928,172,313,386,2.29,0.13
323,1678,196,314,363,1.8,0.1
322,1719,166,301,377,1.18,0.06
322,1624,186,303,374,1.26,0.06
306,1929,175,343,351,1.28,0.09
276,1946,169,314,410,1.48,0.08
315,1912,209,328,358,1.32,0.07
341,1670,184,282,378,2.18,0.1
335,1627,174,275,390,1.57,0.08
298,1972,202,298,404,1.22,0.07
321,1664,212,299,380,1.47,0.09
325,1686,180,252,423,1.82,0.11
350,1475,173,243,407,1.71,0.09
317,1693,180,309,374,1.47,0.09
312,1526,190,280,408,2.05,0.11
323,1632,182,268,409,1.26,0.07
317,1591,193,261,422,1.51,0.08
320,1542,169,283,398,1.71,0.1
298,1932,194,327,375,1.62,0.09
346,1645,207,213,441,1.99,0.11
308,1459,178,304,388,1.7,0.1
299,2048,174,344,358,1.5,0.1
340,1638,171,304,356,1.42,0.11
336,1585,189,243,421,1.82,0.08
313,1624,169,300,387,1.53,0.08
336,1670,158,261,403,1.02,0.05
306,1719,179,356,339,1.6,0.07
295,1797,201,331,374,1.24,0.07
323,1482,185,300,377,1.07,0.06
329,1662,193,282,389,0.98,0.06
310,1516,182,263,428,1.21,0.06
329,1726,203,270,401,1.61,0.1
326,1667,170,266,407,1.47,0.08
317,1623,184,270,414,1.77,0.09
310,1735,187,302,388,1.51,0.06
303,1630,187,353,345,1.68,0.08
355,1884,193,231,414,1.41,0.07
318,1586,155,263,419,1.35,0.07
287,2037,190,316,397,1.59,0.09
270,1907,191,318,412,1.66,0.07
277,1680,177,316,406,1.53,0.08
301,2018,168,312,387,1.4,0.07
308,1879,210,335,357,1.31,0.07
335,1676,178,273,391,1.23,0.06
324,1669,196,305,372,1.41,0.08
319,1806,190,272,409,1.28,0.06
283,1658,181,315,402,1.121,0.06
329,1945,184,289,382,1.29,0.06
310,2092,178,341,349,1.55,0.07
308,1656,194,278,413,1.27,0.06
325,1909,176,312,364,1.59,0.09
316,1759,184,247,437,2.08,0.11
286,1556,180,364,349,1.28,0.07
320,1763,189,278,402,1.25,0.06
365,1701,180,244,391,1.24,0.07
332,1695,171,288,380,2.21,0.13
343,1790,176,285,373,2.16,0.11
330,1442,191,264,406,2.28,0.1
296,1808,195,327,377,2.53,0.12
314,1572,171,274,413,1.4,0.37
329,1715,175,283,388,1.848,0.1
319,1638,177,288,393,1.7,0.09
300,1630,188,296,404,1.79,0.09
284,1716,183,307,409,1.38,0.1
313,1631,213,269,418,1.68,0.1
324,1454,192,267,409,1.35,0.09
341,1628,192,287,372,1.58,0.09
320,1809,179,290,390,2.18,0.12
293,1401,175,304,404,2.01,0.12
311,1674,166,308,381,1.54,0.07
350,1663,182,276,374,1.32,0.08
291,2086,190,313,396,2.21,0.13
298,1858,188,295,407,2.94,0.09
303,1649,173,360,337,1.35,0.08
314,1880,173,332,354,1.6,0.09
264,2000,168,323,413,1.86,0.11
333,1710,166,285,381,1.77,0.11
321,1454,182,246,433,1.85,0.11
319,1790,170,272,408,1.68,0.1
323,1658,199,267,410,1.88,0.11
304,1615,181,283,413,1.45,0.08
325,1533,200,279,396,1.27,0.07
321,2077,216,316,363,1.61,0.09
295,1576,165,333,372,2.61,0.15
342,1719,191,276,382,1.39,0.08
343,1712,216,257,399,0.96,0.05
306,2039,179,349,345,0.93,0.06
315,1631,167,253,432,1.66,0.1
359,1717,172,203,439,1.94,0.12
262,1876,190,392,346,3.09,0.16
296,1714,195,292,412,1.68,0.1
319,1935,175,300,380,2.58,0.13
335,1664,179,304,361,2.28,0.13
300,2008,209,345,355,1.34,0.08
311,1840,169,293,396,1.69,0.1
309,1619,192,334,357,1.75,0.1
301,1840,215,299,400,1.36,0.07
308,1756,184,286,406,2.56,0.13
275,1838,197,324,401,1.99,0.15
273,1662,168,312,415,2.76,0.15
330,1647,220,295,375,2.41,0.14
325,1682,187,270,405,2.32,0.13
309,1627,175,260,431,2.64,0.13
331,1768,205,294,374,1.85,0.11
334,1743,192,264,402,1.3,0.07
329,1833,170,295,376,2.56,0.15
295,2145,168,287,418,2.55,0.14
303,1629,152,291,406,1.77,0.1
312,1634,191,349,339,1.78,0.1
334,1416,197,270,396,1.79,0.11
313,1499,198,247,440,1.63,0.11
353,1599,170,239,408,1.74,0.11
294,1888,174,323,383,2.26,0.13
316,1656,164,273,411,1.89,0.11
324,1962,187,275,401,2.7,0.16
356,1765,191,232,412,1.7,0.11
321,1774,179,241,438,2.01,0.11
300,1855,174,304,396,2.19,0.11
324,1745,177,251,425,2.73,0.16
304,1460,190,258,438,2.04,0.15
311,1686,188,326,363,1.76,0.11
311,1818,394,245,444,2.22,0.11
304,1483,164,247,449,1.73,0.11
340,1544,174,261,399,1.78,0.09
342,1826,178,281,376,1.66,0.09
292,1983,181,341,367,1.55,0.09
336,1639,176,301,362,2.5,0.14
278,1773,170,296,426,2.79,0.09
311,1606,182,257,432,2.42,0.16
295,1915,175,308,397,2.58,0.15
274,1901,173,373,353,2.27,0.12
342,1629,182,300,359,3.05,0.19
322,1658,169,300,378,1.77,0.11
306,1919,200,332,362,2.22,0.12
350,1604,186,209,441,3.95,0.22
287,1717,180,350,363,3.59,0.21
315,1840,189,334,350,2.2,0.14
326,1724,184,317,358,2.85,0.16
339,1655,173,264,398,2.87,0.16
320,1822,180,307,374,1.13,0.07
344,1686,170,281,375,1.53,0.08
338,1655,174,273,389,1.65,0.1
310,1835,185,321,368,20.4,0.11
336,1712,194,298,366,1.39,0.06
345,1697,170,260,396,1.38,0.11
342,1646,192,296,362,1.66,0.09
305,1514,159,254,442,1.76,0.11
319,1678,169,295,386,1.22,0.08
336,1747,169,279,385,1.5,0.09
295,1881,196,326,379,2.02,0.09
342,1554,198,236,422,1.58,0.09
334,1695,181,255,411,1.74,0.11
297,1720,170,323,380,1.61,0.11
311,1655,162,285,404,1.82,0.11
336,1942,209,288,376,1.3,0.11
326,1586,185,244,430,2.34,0.09
310,1502,178,257,433,2.66,0.1
351,1999,175,248,401,2,0.09
291,1863,173,355,354,2.18,0.1
339,1520,178,257,403,1.81,0.14
331,1452,196,265,404,2.28,0.1
323,2216,208,261,416,1.59,0.05
309,1702,196,346,344,2.71,0.09
321,1743,182,293,385,1.42,0.09
313,1820,176,327,360,1.74,0.11
333,1505,169,280,387,1.73,0.12
297,1500,186,350,353,1.27,0.112
312,1608,188,309,380,2.06,0.1
339,1665,167,250,411,2.47,0.1
322,1566,186,253,424,1.59,0.1
313,1657,185,257,430,2.31,0.09
323,1513,189,273,405,1.35,0.1
311,1617,172,275,414,2.1,0.09
352,1721,174,279,369,2.5,0.17
311,1842,172,315,374,2.71,0.1
322,1828,186,250,428,1.85,0.09
310,1841,183,298,392,1.87,0.1
316,1634,178,279,405,1.69,0.1
330,1775,207,301,369,1.8,0.1
292,1790,178,336,372,1.62,0.09
312,1700,196,311,377,2.16,0.1
311,1906,167,321,368,1.59,0.09
308,1531,183,265,427,2.56,0.09
307,1664,190,313,380,1.6,0.09
331,1486,189,262,407,2.11,0.1
345,1797,182,228,427,1.48,0.1
325,1537,162,262,412,1.46,0.13
312,1872,190,326,362,2.31,0.17
326,2014,190,287,387,2.06,0.1
361,1631,176,220,419,1.36,0.07
319,1659,192,239,442,1.49,0.11
308,1903,179,297,395,2,0.12
313,1679,184,312,374,1.84,0.12
359,1706,163,220,421,2.66,0.12
284,1962,173,340,377,2.25,0.09
333,1798,172,283,384,1.89,0.09
306,1760,176,318,376,2,0.13
321,1669,180,334,345,1.06,0.09
319,1405,168,298,383,1.46,0.11
358,1917,212,225,417,1.56,0.08
326,1547,186,287,387,2.2,0.1
300,1666,190,348,352,1.02,0.07
300,1558,197,358,341,1.46,0.13
320,2123,215,279,401,2.25,0.1
298,1566,177,266,437,1.69,0.1
331,1659,161,293,375,1.73,0.09
319,1698,189,258,423,2.21,0.13
