SOC%,Nitrogen%,SOC,Sand,Silt,Clay
2.87,0.14,165,313,335,351
1.24,0.06,180,292,394,314
0.76,0.04,190,288,364,348
1.03,0.05,184,328,375,297
1,0.06,187,242,408,350
1.44,0.07,194,240,451,309
1.65,0.08,181,319,385,296
0.96,0.05,188,285,372,343
1.72,0.09,175,266,395,339
0.76,0.04,171,292,397,311
1.03,0.05,186,300,385,315
1.85,0.09,168,316,370,313
1.23,0.06,193,244,400,357
0.96,0.05,179,326,357,317
1.72,0.09,172,293,409,298
1.92,0.1,176,285,396,319
1.51,0.08,183,313,383,304
1.24,0.06,172,262,395,342
1.72,0.09,200,318,394,288
1.38,0.07,191,269,402,329
1.17,0.06,188,275,389,336
1.72,0.09,187,347,356,296
1.92,0.1,158,298,360,342
1.51,0.08,167,260,424,316
1.72,0.09,204,293,376,331
2.85,0.14,169,288,394,318
1.99,0.1,390,340,373,287
1.92,0.1,171,287,362,351
2.23,0.11,166,270,424,306
0.76,0.04,167,333,353,313
2.2,0.11,192,279,422,299
2.87,0.14,180,287,373,340
2.13,0.11,165,267,429,303
2.87,0.14,170,285,397,318
1.71,0.09,213,325,377,299
2.75,0.14,163,347,343,310
1.79,0.09,165,263,439,298
1.65,0.08,161,286,372,341
2.88,0.14,169,319,372,310
2.87,0.14,174,296,365,338
2.06,0.1,174,246,406,348
1.58,0.08,192,323,395,282
2.2,0.11,192,292,390,318
1.99,0.1,177,261,422,317
1.79,0.09,195,235,417,348
0.89,0.05,172,294,386,320
2.8,0.14,156,298,400,301
1.99,0.1,186,304,401,295
0.75,0.04,179,269,439,291
1.99,0.1,173,286,402,312
1.99,0.14,181,290,393,316
2.82,0.14,181,246,440,314
2.68,0.13,176,248,449,303
2.61,0.13,187,308,371,322
1.51,0.08,194,267,398,335
2.75,0.14,198,323,361,316
2.61,0.13,218,263,389,349
2.82,0.14,175,304,365,331
2.68,0.13,189,284,384,332
2.84,0.14,172,267,407,326
1.92,0.1,177,310,402,289
1.86,0.09,171,262,408,330
1.58,0.08,166,280,386,334
1.16,0.06,168,313,386,301
1.51,0.08,216,318,364,318
0.9,0.05,177,296,371,333
0.78,0.04,203,345,350,305
1.03,0.05,204,219,428,353
1.44,0.07,182,269,396,335
1.16,0.06,190,284,399,317
0.78,0.04,199,274,409,317
0.78,0.04,173,262,411,327
1.72,0.09,176,355,339,307
1.03,0.05,182,290,360,350
2.06,0.1,177,286,376,338
2.68,0.13,193,289,377,334
1.16,0.06,179,239,426,335
1.38,0.07,173,271,426,304
1.65,0.08,189,304,383,313
0.78,0.04,212,232,410,358
1.03,0.05,210,322,373,306
0.78,0.04,175,356,338,305
2.2,0.11,176,314,372,314
2.89,0.14,196,311,377,312
2.82,0.14,178,317,384,299
1.79,0.09,172,229,439,332
1.58,0.08,187,216,436,349
1.02,0.05,192,220,429,351
2.75,0.14,227,324,366,310
2.82,0.14,196,252,432,317
1.85,0.09,214,238,430,332
1.72,0.09,206,295,392,313
2.81,0.14,185,265,401,334
2.83,0.14,193,351,355,295
2.82,0.14,161,244,430,326
1.78,0.09,181,264,406,329
2.75,0.14,204,238,412,349
3.08,0.15,167,354,344,302
2.85,0.14,187,288,407,305
